Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"neuer touch the sheets that couer thee,",time,sexuality,domestic,concealment,,,
be diuorst in bed,matrimony,sexuality,,,,,
Thy dowry shall be sold to giue new life Vnto those pleasures,matrimony,economics,life,games__sports,,,
shal I want dust & like a slaue weare nothing in my pockets but my hands To fil them vp with nailes.,privation,economics,social_status,clothes,anatomy,,
"Oh much [poverty] against  my blood,",economics,resistance,anatomy,,,,
A bawde to dice?,sexuality,games__sports,,,,,
"Ile shake the drabbs my selfe And make em yeeld,",games__sports,sexuality,economics,,,,
three children like three euils hang vpon me,quantities,familial,ethics,adhesion,,,
Still doe those loathsome thoughts Iare on your tongue.,ethics,mental_faculty__state__entities,sounds,anatomy,,,
"Your selfe to staine the honour of your wife, nobly descended ",cleaning,recognition,matrimony,social_status,,,
"hee's more then mad That wounds himselfe, whose owne wordes do proclaym Scandalls vniust, to soile his better name:",mental_faculty__state__entities,violence,language,etiquette,cleaning,,
let modestie reproue you.,character_traits__nature,etiquette,,,,,
Let honest kindnes sway so much with you.,character_traits__nature,politics,,,,,
"farewel Instructions, Admonitions.",greetings,education,etiquette,,,,
hel wil stand more pleasa?t than her house at home.,religion,feelings,domestic,accommodation,,,
"Strike thine owne follies, for it is they Deserue to be wel beaten, ",violence,mental_faculty__state__entities,ethics,,,,
thy landes and Credit Lie now both sick of a consumption,geography,economics,medicine,,,,
that man spends with shame That with his ritches does consume his name:,economics,emotions,consumption,language,,,
"Thy fathers and forefathers' worthy honors, Which were our country monuments, [] Follies in thee begin now to deface ",familial,recognition,politics,architecture,mental_faculty__state__entities,destruction,
The spring time of thy youth did fairely promise such a most fruitfull summer to thy friends,nature,lifes_cycle,language,architecture,social_relations,,
"I am past my patient bloode,",time,character_traits__nature,anatomy,,,,
my reputation toucht to death.,recognition,violence,death,,,,
"No,[the husband]  monster,",matrimony,deformities__disabilities,,,,,
To laie thy hate vpon the fruitfull Honor of thine own bed.,violence,emotions,architecture,recognition,domestic,,
"my sword's not thirsty for your life,",weapons__armor,food,life,,,,
"Tis not your honour, tis your folly bleedes,",recognition,mental_faculty__state__entities,injuries,,,,
heape not wrongfull shame On her [wife] and your posterity,quantities,etiquette,matrimony,familial,,,
"only sin be sore,",religion,injuries,,,,,
Has the [to the gentleman] dog left me then After his tooth hath left me?,social_status,animals,privation,anatomy,violence,,
"oh my hart Would faine leape after him,",anatomy,feelings,physical_activities,,,,
Tis griefe enough within dores,emotions,spatial,architecture,,,,
run ore his prodigall life As perfectly as if his serious eye Had nombred all his follies:,mental_faculty__state__entities,economics,life,anatomy,quantities,,
himselfe withered with debts,consumption,economics,,,,,
"fathering his ryots on his youth, ",reproduction,character_traits__nature,lifes_cycle,,,,
his deserts Are in forme vglier then an vnshapte Bear.,character_traits__nature,appearance,deformities__disabilities,animals,,,
the deuill himselfe kept open house in him.,religion,spatial,architecture,,,,
free my husband out of vserers hands:,social_relations,matrimony,economics,anatomy,,,
"is the rubbish sold, those wise-akers, your lands?",economics,mental_faculty__state__entities,geography,,,,
"Thou pollitick whore, subtiller then nine Deuils",politics,sexuality,character_traits__nature,quantities,religion,,
"confind in seruice to crouch and stand like an old man ith hams, my hat off, ",incarceration,social_relations,physical_activities,lifes_cycle,anatomy,clothes,
"slut, this fruite beares thy complaints.",sexuality,architecture,reproduction,language,,,
ile forget my selfe to calme your blood:,mental_faculty__state__entities,feelings,anatomy,,,,
Vniuersity That long word [runs through] mee.,education,language,violence,,,,
He calls it slauery to be preferd.,social_status,recognition,,,,,
"A place of credit, a base seruitude.",spatial,economics,social_status,,,,
how ruine with a palsie hand Begins to shake the auncient seat to dust:,destruction,medicine,anatomy,violence,games__sports,domestic,
the heauy weight of sorrow drawes my liddes Ouer my dankishe eies,weight,emotions,anatomy,,,,
"Thus griefe will laste, it wakes and sleeps with mee.",emotions,preservation,sleep,,,,
his hope strook dead,emotions,violence,,,,,
the pride of his youth muffled in these dark clowds of oppression.,character_traits__nature,lifes_cycle,concealment,darkness,nature,violence,
you haue kild the towardest hope of all our vniuesitie,violence,social_relations,education,,,,
"euen those whome honesty condemnes, condemne you: ",character_traits__nature,judiciary,,,,,
your sillables haue cleft me.,language,violence,,,,,
Both for your words and pains I thank you:,language,suffering,recognition,,,,
Brus'd with an execution for my sake A bruse indeed makes many a mortall Sore till the graue cure em,violence,judiciary,injuries,death,medicine,,
y'aue chid your welcome:,etiquette,greetings,,,,,
"thy damnation has beggerd thee,",religion,economics,,,,,
tis our bloude to loue what we are forbidden,anatomy,emotions,judiciary,,,,
had not drunkennes byn forbidden what man wold  haue been foole to a beast and Zany to a swine to show tricks in the mire,mental_faculty__state__entities,judiciary,animals,theatre,nature,,
What is there in three dice to make a man draw thrice three thousand acres into the compasse of a round little table,quantities,games__sports,geography,spatial,size,,
"& with the gentlemans palsy in the hand shake out his posteritie,",social_status,medicine,anatomy,games__sports,familial,,
"My Lands shewed like a full moone about mee, but nowe the moon's ith last quarter, wayning, waining, And I am mad to think that moone was mine: Mine and my fathers, ",geography,nature,time,consumption,mental_faculty__state__entities,familial,
"Now is the name a beggar, begs in me that name which hundreds of yeeres has made this shiere famous:",language,economics,time,recognition,politics,,
my ryot is now my brothers iaylor,character_traits__nature,familial,incarceration,,,,
Why sit my haires vpon my cursed head? Will not this poyson scatter them?,preservation,anatomy,religion,medicine,consumption,,
my brother's In execution among deuells that stretch him,familial,judiciary,religion,violence,,,
"in my heart her [hell's] seuerall torments dwell, Slauery and mysery.",anatomy,religion,violence,accommodation,social_status,suffering,
"take vp mony vpon his soule, pawn his saluation, liue at interest",economics,religion,life,,,,
"for me to want, exceeds the throwes of hel.",economics,suffering,religion,,,,
My eldest beggar,familial,economics,,,,,
Tis charity to braine you.,economics,violence,,,,,
Spurne thou thy fortunes,derision__offense___contempt,social_status,,,,,
"Fates, My childrens bloud shall spin into your faces",mystical,familial,anatomy,,,,
the father plaies awaie the Sonne,familial,games__sports,,,,,
misery serues in this house.,suffering,social_relations,architecture,,,,
Ile breake your clamor with your neck,violence,sounds,anatomy,,,,
to charme a womans tongue Is break hir neck,mystical,women,violence,anatomy,,,
Were you the Deuil I would hold you sir,religion,hindrance,social_status,,,,
Tug at thy master? -- Tug at a Monster.,violence,social_status,deformities__disabilities,,,,
"the Deuil wrastles, ",religion,violence,,,,,
"set quick spurres to my vassaile, ",speed,equestrian,social_status,,,,
"Fates, Ile not leaue you one to trample on.",mystical,resistance,violence,,,,
"Till now hell's power supplied, to his soules wrong.",religion,physical_attributes,economics,ethics,,,
A deadly greeting!,death,greetings,,,,,
has he somde vp theis [children's murder],economics,violence,,,,,
To see my children bleede before mine eies. A sight able to kill a mothers brest Without an executioner,sensations,familial,injuries,anatomy,violence,,
"Like a man mad in execution,",mental_faculty__state__entities,physical_activities,,,,,
stole awaie humanity from his brest?,economics,humanity,anatomy,,,,
"Tis [the place] guiltie of sweete bloud, innocent bloud,",spatial,judiciary,anatomy,character_traits__nature,,,
"Murder has tooke this chamber with ful hands, And [murder] wil nere out as long as the house stands.",violence,domestic,anatomy,time,privation,architecture,preservation
"such plaine euen ground, sfot, a man may dice vpon't, and throw awaie the Medowes",nature,games__sports,privation,geography,,,
"flintie, more then barbarous:",materials,character_traits__nature,,,,,
"The Scithians in their marble hearted feates [violence], Could not haue acted more [remorselesse deeds] In their relentlesse natures",ethnicity__nationality,materials,anatomy,violence,ethics,character_traits__nature,
"he can haue no more on's then our skins, And some of em want but fleaing.",economics,anatomy,privation,violence,,,
H'as shed so much bloud that he cannot blush.,violence,quantities,anatomy,facial_expressions,,,
Til this black minut without staine or blemish,colors,time,cleaning,,,,
The serpent of his house!,animals,architecture,,,,,
Your fathers sorrows are aliue in me,familial,emotions,life,,,,
cussen beggery:,deception,economics,,,,,
knock my house oth head.,violence,architecture,anatomy,,,,
in a cooler bloud you will repent it [violence].,temperature,anatomy,feelings,violence,,,
haue weand him [killed],food,violence,,,,,
"in to morrowes iudgement The terror will sit closer to your soule,",judiciary,emotions,physical_activities,spatial,religion,,
the blot Vpon his predecessors honord name:,cleaning,familial,recognition,language,,,
"in the hands of vnrelenting lawes,",anatomy,judiciary,,,,,
my soule bleeds.,religion,injuries,,,,,
"Vnkindnes strikes a deeper wound then steele,",character_traits__nature,violence,spatial,injuries,weapons__armor,,
"to kill me, thou hast given mine eies Seauen woonds [of Christ]",violence,anatomy,quantities,injuries,religion,,
"now glides the deuill from mee, departes at euery ioynt, heaues vp my nailes.",movement,religion,privation,anatomy,violence,,
"let him [the devil] not rise To make men act vnnaturall tragedies, ",resistance,religion,physical_activities,humanity,nature,theatre,
"[the devil] To spred into a father, and in furie, Make him his childrens executioners",religion,spatial,familial,emotions,violence,,
"For that man's darke, where heauen is quite forgot.",men,darkness,religion,mental_faculty__state__entities,,,
Heer's weight enough to make a heartstring crack,weight,anatomy,destruction,,,,
"Then should you [children] see the penitent glasses melt, ",familial,sensations,religion,materials,consumption,,
"And both your murthers shoote vpon my cheekes,",violence,nature,anatomy,,,,
twas [beggary] the enemy my eyes so bleard.,economics,social_relations,anatomy,sensations,,,
"my soull is bloudied, well may my lippes be so.",religion,violence,anatomy,,,,
I of thy wrongs repent me with my harte.,ethics,religion,anatomy,,,,
My punishments are their eternall ioyes.,judiciary,time,emotions,,,,
One ioy is yet vnmurdered:,quantities,emotions,violence,,,,
I shall bring newes weies heauier then the debt:,language,weight,economics,,,,
"Doubtful it [broil] stood; As two spent swimmers, that do cling together And choke their art. ",military,consumption,physical_activities,adhesion,violence,,
"Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him",recognition,social_unrest,reproduction,ethics,nature,animals,
"And Fortune, on his damned quarry smiling, Show'd like a rebel's whore",mystical,death,facial_expressions,social_unrest,sexuality,,
"Disdaining Fortune, with his brandish'd steel, Which smoked with bloody execution, ",derision__offense___contempt,mystical,weapons__armor,fire,violence,,
Like Valour's minion carved out his passage Till he faced the slave;,character_traits__nature,social_status,violence,spatial,,,
"Till he unseam'd him from the nave to the chaps,",clothes,anatomy,,,,,
"As whence the sun 'gins his reflection, Shipwrecking storms and direful thunders, So from that spring whence comfort seem'd to come Discomfort swells",nature,nautical,feelings,,,,
"No sooner justice had, with valour arm'd, Compell'd these skipping kerns to trust their heels,",judiciary,character_traits__nature,weapons__armor,violence,military,mental_faculty__state__entities,anatomy
"with furbished arms and new supplies of men, Began a fresh assault.",economics,military,violence,,,,
"Dismayed not this [assault] our captains, Macbeth and Banquo? As sparrows eagles, or the hare the lion.",feelings,violence,animals,,,,
"As cannons overcharged with double cracks, so they Doubly redoubled strokes",weapons__armor,quantities,violence,,,,
to bathe in reeking wounds,cleaning,injuries,,,,,
memorise another Golgotha,mental_faculty__state__entities,religion,,,,,
my gashes cry for help.,injuries,sounds,assistance,,,,
thy words become thee as thy wounds; They smack of honour both.,language,etiquette,injuries,food,character_traits__nature,,
Where the Norweyan banners flout the sky and fan our people [soldiers] cold.,politics,derision__offense___contempt,nature,military,temperature,,
"Till that Bellona's bridegroom, lapp'd in proof, Confronted him ",myth,matrimony,weapons__armor,violence,,,
shall deceive Our bosom interest,deception,anatomy,politics,,,,
"like a rat without a tail, I'll do",animals,anatomy,physical_activities,,,,
I will drain him dry as hay:,sexuality,nature,,,,,
Sleep shall neither night nor day Hang upon his penthouse lid;,sleep,time,adhesion,architecture,anatomy,,
the charm's wound up.,mystical,music,,,,,
"What are these So wither'd and so wild in their attire, That look not like the inhabitants o' the earth, And yet are on't? ",consumption,clothes,appearance,accommodation,nature,,
"If you [witches] can look into the seeds of time, And say which grain will grow and which will not,",mystical,sensations,architecture,time,,,
"The earth hath bubbles, as the water has, And these [witches] are of them. ",nature,mystical,,,,,
what seem'd corporal melted As breath into the wind.,anatomy,consumption,breathing,nature,,,
have we eaten on the insane root That takes the reason prisoner?,food,medicine,mental_faculty__state__entities,incarceration,,,
His wonders and his praises do contend Which should be thine [military general] or his [the king's]:,religion,recognition,violence,military,politics,,
"every one did bear Thy praises in his kingdom's great defence, And [pour'd them down] before him.",labor,recognition,politics,military,,,
The thane of Cawdor lives: why do you dress me In borrow'd robes?,social_status,life,clothes,economics,,,
Thanks for your pains.,recognition,suffering,,,,,
"That [prophesy], trusted home, Might yet enkindle you unto the crown,",mystical,mental_faculty__state__entities,domestic,fire,politics,,
"to win us to our harm, The instruments of darkness tell us truths,",deception,violence,social_relations,darkness,language,,
"Two truths are told, As happy prologues to the swelling act Of the imperial theme.",language,emotions,theatre,reproduction,politics,,
"I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature",social_relations,mental_faculty__state__entities,anatomy,movement,feelings,violence,nature
"My thought, whose murder yet is but fantastical, Shakes so my single state of man [self]",mental_faculty__state__entities,violence,politics,character_traits__nature,,,
"function Is smother'd in surmise,",physical_activities,violence,mental_faculty__state__entities,,,,
"New honours come upon him, Like our strange garments, cleave not to their mould, But with the aid of use.",social_status,mental_faculty__state__entities,clothes,adhesion,appearance,assistance,consumption
your pains Are register'd where every day I turn The leaf to read them.,suffering,language,time,,,,
let us speak Our free hearts each to other.,language,social_relations,anatomy,,,,
nothing in his life Became him like the leaving [dying] it;,privation,life,etiquette,death,,,
"he died As one that had been studied in his death, To throw away the dearest thing he owed, As 'twere a careless trifle.",death,education,privation,economics,,,
The sin of my ingratitude even now Was heavy on me:,religion,recognition,weight,,,,
swiftest wing of recompense is slow To overtake thee.,speed,animals,economics,hunting__fishing,,,
"The service and the loyalty I owe, In doing it, pays itself. ",devotion,economics,,,,,
"our duties Are to your throne and state, children and servants, Which [do but what they should], by doing everything Safe toward your love and honour.",devotion,politics,familial,social_status,etiquette,emotions,recognition
"I [king] have begun to plant thee, and will labour To make thee full of growing.",architecture,labor,politics,,,,
let me [king] enfold thee And hold thee to my heart.,politics,affection,anatomy,,,,
"There [king's heart] if I grow, The harvest is your own.",politics,anatomy,architecture,,,,
"My plenteous joys, Wanton in fulness, seek to hide themselves In drops of sorrow",emotions,joviality,concealment,anatomy,,,
"But signs of nobleness, like stars, shall shine On all deservers.",language,character_traits__nature,nature,light,recognition,,
"The Prince of Cumberland! that is a step On which I must fall down, or else o'erleap, for in my way it lies",politics,hindrance,physical_activities,spatial,,,
"Stars, hide your fires;",nature,concealment,fire,,,,
Let not light see my black and deep desires:,resistance,light,sensations,colors,spatial,emotions,
"The eye wink at the hand; yet let that be, Which the eye fears, when it [mruder] is done, to see.",anatomy,concealment,emotions,violence,sensations,,
"he is full so valiant, And in his commendations I am fed; It is a banquet to me.",character_traits__nature,recognition,food,,,,
" I burned in desire to question them further,",fire,emotions,language,,,,
"greatness is promised thee.  Lay it to thy heart,",social_status,language,anatomy,,,,
thy nature; It is too full o' the milk of human kindness To catch the nearest way,character_traits__nature,food,humanity,hunting__fishing,spatial,,
"wouldst not play false, And yet wouldst wrongly win:",games__sports,deception,ethics,,,,
"that I may pour my spirits in thine ear,",medicine,mystical,anatomy,,,,
And chastise with the valour of my tongue All that impedes thee from the golden round,ethics,character_traits__nature,anatomy,hindrance,politics,,
"almost dead for breath, had scarcely more Than would make up his message.",death,breathing,quantities,language,,,
The raven himself is hoarse That croaks the fatal entrance,animals,sounds,death,movement,,,
"unsex me here, And fill me from the crown to the toe top-full Of direst cruelty!",sexuality,anatomy,character_traits__nature,,,,
"my blood; Stop up the access and passage to remorse, ",anatomy,hindrance,spatial,feelings,,,
"That no compunctious visitings of nature Shake my fell purpose, ",ethics,social_relations,nature,violence,mental_faculty__state__entities,,
"you murdering ministers, Wherever, in your sightless substances, You wait on nature's mischief.",violence,politics,sensations,materials,social_relations,nature,ethics
"Come, thick night, And pall thee in the dunnest smoke of hell, ",darkness,clothes,fire,religion,,,
"That my keen knife see not the wound it makes,",weapons__armor,sensations,injuries,,,,
"Nor heaven peep through the blanket of the dark, To cry 'Hold, hold!'",religion,sensations,sleep,darkness,sounds,hindrance,
"Thy letters have transported me beyond This ignorant present, ",language,movement,spatial,mental_faculty__state__entities,time,,
I feel now The future in the instant.,feelings,time,,,,,
never Shall sun that morrow see!,time,nature,sensations,,,,
"Your face, my thane, is as a book where men May read [strange matters]. ",anatomy,language,mental_faculty__state__entities,,,,
"To beguile the time, Look like the time; ",deception,time,appearance,,,,
"welcome in your eye, Your hand, your tongue: ",etiquette,anatomy,,,,,
"look like the innocent flower, But be the serpent under't. ",appearance,character_traits__nature,nature,animals,spatial,,
"This guest of summer, The temple-haunting martlet, ",social_relations,nature,religion,accommodation,animals,,
"[the martlet] does approve, By his loved mansionry, that the heaven's breath Smells wooingly here: ",animals,recognition,architecture,religion,breathing,sensations,
"The love that follows us sometime is our trouble, Which still we thank as love. ",emotions,movement,time,suffering,recognition,,
"bid God yield us for your pains, And thank us for your trouble.",religion,economics,suffering,recognition,,,
"All our service [to the king], In every point twice done and then done double Were poor and single business to contend Against those honours ",devotion,politics,quantities,labor,games__sports,recognition,
"wherewith Your majesty loads our house: for those [honours] of old, And the late dignities heap'd up to them, We rest your hermits.",politics,economics,architecture,social_status,recognition,religion,
We coursed him at the heels,hunting__fishing,anatomy,,,,,
"his great love, sharp as his spur, hath holp him",emotions,equestrian,assistance,,,,
" if the assassination Could trammel up the consequence, and catch with his surcease, success",violence,hunting__fishing,judiciary,death,politics,,
"upon this bank and shoal of time, We'd jump the life to come. ",nature,time,physical_activities,religion,,,
"teach Bloody instructions, which, being taught, return To plague the inventor:",education,violence,medicine,discovering,,,
this even-handed justice Commends the ingredients of our poison'd chalice To our own lips.,anatomy,judiciary,medicine,materials,religion,,
"his virtues Will plead like angels, trumpet-tongued, ",character_traits__nature,judiciary,religion,music,anatomy,,
"pity, like a naked new-born babe, Striding the blast,",emotions,clothes,lifes_cycle,movement,nature,,
" or [pity] heaven's cherubim, horsed Upon the sightless couriers of the air, ",emotions,religion,equestrian,appearance,nature,,
"[pity] Shall blow the horrid deed [murder] in every eye, That tears shall drown the wind.",emotions,breathing,violence,anatomy,nature,,
"I have no spur To prick the sides of my intent, but only Vaulting ambition, which o'erleaps itself And falls on the other.",equestrian,mental_faculty__state__entities,character_traits__nature,physical_activities,,,
"I have bought Golden opinions from all sorts of people, Which would be worn now in their newest gloss",economics,recognition,clothes,light,,,
Was the hope drunk Wherein you dress'd yourself?,emotions,mental_faculty__state__entities,clothes,,,,
"hath it [hope] slept since? And wakes it now, to look so green and pale At what it did so freely?",emotions,sleep,sensations,colors,medicine,physical_activities,social_relations
"Wouldst thou have that [the crown] Which thou esteem'st the ornament of life, And live a coward in thine own esteem,",politics,mental_faculty__state__entities,art,life,character_traits__nature,,
"['I dare not'] wait upon 'I would,' Like the poor cat i' the adage",emotions,social_relations,mental_faculty__state__entities,animals,language,,
"What beast was't, then, That made you break this enterprise [violent plan] to me?",animals,violence,language,violence,,,
"screw your courage to the sticking-place,",violence,character_traits__nature,spatial,,,,
"with wine and wassail so convince, That memory, the warder of the brain, Shall be a fume, and the receipt of reason A limbeck only.",food,mental_faculty__state__entities,incarceration,anatomy,alchemy,,
"in swinish sleep Their drenched natures lie as in a death,",animals,sleep,food,character_traits__nature,death,,
mock the time with fairest show:,deception,time,appearance,,,,
False face must hide what the false heart doth know.,deception,anatomy,concealment,ethics,mental_faculty__state__entities,,
"There's husbandry in heaven, Their candles are all out. ",economics,religion,fire,consumption,,,
"A heavy summons lies like lead upon me, And yet I would not sleep:",weight,commands,materials,sleep,,,
"Being unprepared, Our will became the servant to defect; Which else should free have wrought.",mental_faculty__state__entities,social_status,character_traits__nature,social_relations,labor,,
keep My bosom franchised,preservation,anatomy,politics,,,,
"Mine eyes are made the fools o' the other senses,",anatomy,mental_faculty__state__entities,sensations,,,,
o'er the one halfworld Nature seems dead,spatial,nature,death,,,,
wicked dreams abuse The curtain'd sleep;,ethics,mental_faculty__state__entities,deception,concealment,sleep,,
"wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his watch,",consumption,violence,military,animals,sounds,,
" thus with his [murder's] stealthy pace, With Tarquin's ravishing strides, towards his design Moves like a ghost. ",violence,movement,historical,sexuality,mental_faculty__state__entities,mystical,
"earth, Hear not my steps, which way they walk, ",nature,sensations,movement,spatial,,,
"for fear Thy very stones prate of my whereabout, And take the present horror from the time,",emotions,nature,language,spatial,privation,time,
Words to the heat of deeds too cold breath gives.,language,temperature,physical_activities,breathing,,,
it is a knell That summons thee to heaven or to hell.,music,commands,religion,,,,
What [the wine] hath quench'd them hath given me fire.,food,consumption,fire,,,,
"the owl that shriek'd, the fatal bellman, Which gives the stern'st good-night.",animals,sounds,death,greetings,,,
grooms Do mock their charge with snores:,social_status,derision__offense___contempt,labor,sleep,,,
"death and nature do contend about them, Whether they live or die.",death,nature,violence,life,,,
with these hangman's hands.,death,anatomy,,,,,
Amen' Stuck in my throat.,religion,hindrance,anatomy,,,,
"murder sleep', the innocent sleep,",violence,sleep,judiciary,,,,
"Sleep that knits up the ravelled sleave of care, ",sleep,clothes,destruction,feelings,,,
"[sleep] The death of each day's life, ",sleep,death,time,life,,,
"[sleep] sore labour's bath, ",sleep,suffering,labor,cleaning,,,
"[sleep] Balm of hurt minds, ",sleep,medicine,injuries,mental_faculty__state__entities,,,
"[sleep] great nature's second course, Chief nourisher in life's feast,-",sleep,nature,food,life,,,
"murder'd sleep, ",violence,sleep,,,,,
wash this filthy witness from your hand.,cleaning,judiciary,anatomy,,,,
the sleeping and the dead Are but as pictures:,sleep,death,art,,,,
tis the eye of childhood 'That fears a painted devil.,anatomy,lifes_cycle,emotions,art,religion,,
"If he [the king] do bleed, I'll gild the faces of the grooms withal;",politics,injuries,economics,anatomy,social_status,,
What hands are here? ha! they pluck out mine eyes.,anatomy,violence,,,,,
Will all great Neptune's ocean wash this blood Clean from my hand?,myth,nature,cleaning,anatomy,,,
"my hand will rather The multitudinous seas incarnadine, Making the green one red.",anatomy,spatial,nature,transformation,colors,,
I shame To wear a heart so white.,emotions,clothes,anatomy,colors,,,
A little water clears us of this deed [murder]:,quantities,cleaning,judiciary,violence,,,
Your constancy Hath left you unattended.,character_traits__nature,privation,assistance,,,,
Be not lost So poorly in your thoughts.,spatial,suffering,mental_faculty__state__entities,,,,
"here's an equivocator, that could swear in both the scales against either scale, who committed treason enough for God's sake, yet could not equivocate to heaven",language,weight,politics,religion,,,
"come in, tailor; here you may roast your goose.",clothes,food,animals,,,,
I'll [play] devil-porter it no further,theatre,religion,architecture,,,,
go the primrose way to the everlasting bonfire.,movement,nature,spatial,time,religion,,
"drink especially provoke? nose-painting,",food,anatomy,art,,,,
much drink may be said to be an equivocator with lechery:,food,language,sexuality,,,,
"[drink] equivocates him in a sleep, and, giving him the lie, leaves him. ",food,language,sleep,sexuality,privation,,
"That it [drink] did [gave the lie], sir, i' the very throat on me:",food,sexuality,anatomy,,,,
"though he [drink] took up my legs sometime, yet I made a shift to cast him.",food,games__sports,anatomy,movement,,,
a joyful trouble,emotions,suffering,,,,,
The labour we delight in physics pain.,labor,feelings,medicine,suffering,,,
"Lamentings heard i' the air; strange screams of death, ",emotions,sensations,nature,mental_faculty__state__entities,sounds,death,
"[Lamentings] And prophesying with accents terrible, ",emotions,mystical,language,,,,
Of dire combustion and confused events New hatch'd to the woeful time.,fire,mental_faculty__state__entities,animals,emotions,time,,
the earth Was feverous and did shake.,nature,medicine,violence,,,,
Tongue nor heart Cannot conceive nor name thee [horror]!,anatomy,language,mental_faculty__state__entities,emotions,,,
Confusion now hath made his masterpiece!,mental_faculty__state__entities,art,,,,,
"Most sacrilegious murder hath broke ope The Lord's anointed temple, ",religion,violence,spatial,architecture,,,
and [murder]  stole thence The life o' the building!,violence,economics,life,architecture,,,
destroy your sight With a new Gorgon:,destruction,sensations,myth,,,,
"Shake off this downy sleep, death's counterfeit,",violence,sleep,death,deception,,,
"up, up, and see The great doom's image",sleep,sensations,religion,art,,,
"As from your graves rise up, and walk like sprites, To countenance this horror",death,sleep,movement,mystical,etiquette,emotions,
"The repetition, in a woman's ear, Would murder as it fell.",language,women,anatomy,violence,,,
There 's nothing serious in mortality: All is but toys:,privation,mental_faculty__state__entities,life,games__sports,,,
renown and grace is dead;,recognition,religion,death,,,,
"The wine of life is drawn, and the mere lees Is left this vault to brag of.",food,life,consumption,preservation,architecture,language,
"The spring, the head, the fountain of your blood Is stopp'd;",nature,anatomy,hindrance,,,,
"The expedition of my violent love Outran the pauser, reason. ",speed,violence,emotions,movement,mental_faculty__state__entities,hindrance,
His silver skin laced with his golden blood;,economics,anatomy,clothes,,,,
his gash'd stabs look'd like a breach in nature For ruin's wasteful entrance:,injuries,nature,destruction,spatial,,,
"the murderers, Steep'd in the colours of their trade,",violence,cleaning,colors,economics,,,
"who could refrain, That had a heart to love, and in that heart Courage to make 's love known",resistance,anatomy,emotions,character_traits__nature,recognition,,
"we hold our tongues, ",hindrance,anatomy,,,,,
"our fate, Hid in an auger-hole, may rush, and seize us",mystical,concealment,hunting__fishing,spatial,,,
Our tears are not yet brew'd.,anatomy,food,,,,,
nor our strong sorrow Upon the foot of motion.,emotions,anatomy,movement,,,,
"when we have our naked frailties hid, ",clothes,character_traits__nature,concealment,,,,
"In the great hand of God I stand, and thence Against the undivulged pretence I fight Of treasonous malice.",anatomy,religion,physical_activities,deception,violence,politics,ethics
Let's briefly put on manly readiness,clothes,men,mental_faculty__state__entities,,,,
There's daggers in men's smiles:,weapons__armor,facial_expressions,,,,,
"This murderous shaft that's shot Hath not yet lighted, and our safest way Is to avoid the aim.",violence,weapons__armor,hunting__fishing,danger__safety,spatial,,
