,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
32,[heat] From sparkles bred by thee,temperature,fire,reproduction,,,,
33,"But I with bountie, and with gifts have tyde Their harts so sure, I know, they will not slide.",character_traits__nature,economics,clothes,anatomy,physical_activities,,
34,let us thunder and lightning Strike from our braue armes,nature,violence,character_traits__nature,anatomy,,,
35,"slave, of no more trust than love that's hired!",social_status,social_relations,emotions,economics,,,
36,"the desert Of her I love, still sticking in my heart,",recognition,emotions,adhesion,anatomy,,,
37,Can we yet breath? is any plagued like me?,breathing,medicine,,,,,
38,"I'll only write that which my grave has bred,",language,death,reproduction,,,,
39,"My mind walks yonder, ",mental_faculty__state__entities,movement,spatial,,,,
40,I am recovered of that foul disease That haunts too many mothers. ,medicine,mystical,familial,,,,
41,"such woesÂ IouesÂ ribs would burst,",emotions,religion,anatomy,violence,,,
42,"When rising from his bedde he [dwarf] stirres himselfe, And shakes day from his hayre.",sleep,deformities__disabilities,privation,time,anatomy,,
43,HereÂs a perplex?d breast,mental_faculty__state__entities,anatomy,,,,,
44,Equality of two domestic powers Breed scrupulous faction,politics,domestic,mental_faculty__state__entities,reproduction,,,
45,a poore widdows house that knowes no end Of her ill fortune:,familial,architecture,mental_faculty__state__entities,suffering,,,
46,o'er the one halfworld Nature seems dead,spatial,nature,death,,,,
47,"He bears the sentence well that nothing bears But the free comfort which from thence he hears,",labor,judiciary,privation,feelings,sensations,,
48,"KnowÂ SyphaxÂ has no knees, his eyes no teares,",anatomy,character_traits__nature,,,,,
49,Tis such another fitchew! marry a perfumed one.,animals,sensations,sexuality,,,,
50,And [time] beats back misery with a peal of joys.,time,violence,spatial,suffering,music,emotions,
51,"I'll hold her by the foretop fast enough, Or like the French mole heave up hair and all.",adhesion,anatomy,ethnicity__nationality,animals,,,
52,"vrgent destiny, That (as great states men for their general end In politique iustice, make poore men offend) Enforceth my offence to make it iust:",mystical,politics,social_status,derision__offense___contempt,judiciary,ethics,
53,I am transported Beyond the power of reason!,movement,spatial,mental_faculty__state__entities,,,,
54,"if now I die, Sit joy and all good on your victory.",death,physical_activities,emotions,military,,,
55,"when they shall see  his crest up again, and the man in blood, they will out of their burrows, like conies after rain, and revel all with him",sensations,games__sports,anatomy,accommodation,animals,nature,joviality
56,"you do'st unkindly vex my soul, with rubbing up my secret miseries, Incured by seeking to lift up your head",emotions,religion,sensations,concealment,suffering,physical_activities,anatomy
57,"Rebellion's head, rise never",social_unrest,anatomy,physical_activities,time,,,
58,"[his familiars] leave their false vows with him, Like empty purses pick'd",social_relations,deception,language,spatial,economics,,
59,"my young boy Hath an aspect of intercession, which Great nature cries 'Deny not.'",LIFE'S CYCLE,familial,appearance,judiciary,nature,sounds,privation
60,The great contention of the sea and skies Parted our fellowship,violence,nature,privation,social_relations,,,
61,his right arm might purchase his own time And be in debt to none,anatomy,economics,time,,,,
62,"Stop it, and burst it, or break through it all, With use and safety, till the Crown be set On all my actions; ",hindrance,violence,spatial,danger__safety,politics,,
63,"twere a concealment Worse than a theft, no less than a traducement, To hide your doings",concealment,economics,language,military,,,
64,"as you shrinkst, your starry loade may nod AtÂ [my] fall:",size,astrology,labor,facial_expressions,destruction,,
65,you [wife and sister] are come A market-maid to Rome,matrimony,familial,economics,social_status,politics,,
66,"I would your cambric [linen] were sensible as your finger, that you might leave pricking it for pity. ",clothes,sensations,anatomy,privation,emotions,,
67,"Son of the earth, whom my vnrested soule, Rues t'haue begotten in the faith of heauen;",familial,nature,sleep,religion,emotions,reproduction,
68,"For as when Archers let their arrows fly, They call to them, and bid them fly or fall, As if it were in the free power of the shaft To fly or fall, when only tis the strength, Straight shooting, compass given it by the Archer, That makes it hit or miss; and doing either, He's to be praised or blamed, and not the shaft: So Kings to Subjects crying, do, do not this;",games__sports,weapons__armor,commands,character_traits__nature,recognition,judiciary,politics
69,for that [drinking] indeed will thrust a white gentleman into a suit of mud.,food,violence,colors,social_status,clothes,cleaning,
70,the commons made A shower and thunder with their caps and shouts:,politics,nature,clothes,sounds,,,
71,"He has deserved it An armour all of gold; it was a king's], were it carbuncled Like holy Phoebus' car.",recognition,weapons__armor,politics,economics,religion,myth,movement
72,"Reproach of Fortune, and the victor's scorn.",etiquette,mystical,military,derision__offense___contempt,,,
73,"Man were on earth an Angell but for woman,",men,nature,religion,women,,,
74,Our tears are not yet brew'd.,anatomy,food,,,,,
75,"my as fair as noble ladies,--and the moon, were she earthly, no nobler,",appearance,social_status,women,astrology,nature,character_traits__nature,
76,"Whateuer Fortune comes, I bid it welcome,",mystical,greetings,,,,,
77,"[Gold] your slave man rebels, and by your virtue Set them into confounding odds, that beasts May have the world in empire!",economics,social_status,social_unrest,ethics,destruction,animals,politics
78,"[Villain] Whose poison'd breath, ha's speckl'd cleare faced vertue, And made a Leper ofÂ Isabella'sÂ fame,",ethics,medicine,breathing,cleaning,anatomy,recognition,
79,"having won the honour of the battle To throw our glory on unworthy spirits, ",military,privation,recognition,social_relations,,,
80,"I must arme me thus against their scornes, ",weapons__armor,derision__offense___contempt,,,,,
81,"you art too full Of the wars' surfeits, to go rove with one That's yet unbruised",food,military,movement,injuries,,,
82,"Though you be provided for his Holiness own mouth; I will be, Bold to be the Pope's taster by his leave, Now trustyÂ Troylus",religion,anatomy,character_traits__nature,food,myth,,
83,"Fame got with loss of breath, is godlike gaine.",recognition,privation,breathing,religion,,,
84,"He has betray'd your business, and given up, For certain drops of salt, your city Rome,",politics,privation,quantities,food,urban,,
85,"to win us to our harm, The instruments of darkness tell us truths,",deception,violence,social_relations,darkness,language,,
86,"Whose birth is more beholden to report Than mine, and yet perhaps as falsely sown",reproduction,recognition,language,deception,architecture,,
87,"They are his shards, and he their beetle.",anatomy,animals,,,,,
88,"it was no better than picture-like to hang by the wall, if renown made it not stir, ",art,domestic,recognition,movement,,,
89,"A sight most pitiful in the meanest wretch, Past speaking of in a king!",sensations,emotions,social_status,language,politics,,
90,"Hunger and lust will break through flesh and stones, ",food,sexuality,violence,anatomy,materials,,
91,"Happy isÂ IndiaÂ andÂ ArabiaÂ blessed, And all the bordering regions uponÂ Nile that never knew the name of Liberty",emotions,politics,religion,spatial,mental_faculty__state__entities,language,social_relations
92,[women] The other angels and sweete featurde saints.,women,religion,appearance,,,,
93,"Walks heauyly, as if his soule were earth:",movement,weight,religion,nature,,,
94,"their [Nobles] own deeds hearing by others glorified, than be so barren, that their parts only stood in praising others.",social_status,politics,sensations,recognition,reproduction,,
95,"Gold can make hard the softest conscience, And mine is hardened by the practise of it.",economics,physical_attributes,ethics,,,,
96,Desire in women is the life of wit. ,emotions,women,life,mental_faculty__state__entities,,,
97,Thou art no tutord Pollitition To lay another in your bosome.,education,politics,spatial,anatomy,,,
98,"he wears jewels now of Timon's gift, For which I wait for money. --It is against my heart.",economics,clothes,social_relations,resistance,anatomy,,
99,"Grapples you to the heart and love of us,",adhesion,anatomy,emotions,,,,
100,[a Lawyer that turnes sacred law] Into the damned sins it punisheth;,judiciary,transformation,religion,,,,
101,The motherÂÂs curse is heavy. Where that fights Sons set in storm and daughters lose their lights.,familial,mystical,weight,violence,nature,privation,light
102,Your feare has told you that whereof my griefe Was loath to be the messenger.,emotions,language,social_status,,,,
103,that marrowless age Should stuff the hollow bones with damned desires ,anatomy,time,food,spatial,religion,sexuality,
104,"God has beheld us with his eyes of mercy,",religion,sensations,anatomy,judiciary,,,
105,"All hopes are shipwracked, misery comes on,",emotions,nautical,suffering,,,,
107,"your gall Turns all your blood to poison, which is cause Of that Tode-poole that stands in your complexion;",anatomy,transformation,medicine,animals,nature,,
108,impiety May soon sink down under the deity.,religion,destruction,spatial,,,,
109,"Out, fool! I forgive thee for a witch.",mental_faculty__state__entities,social_relations,mystical,,,,
110,I walk in a vault all underground.,movement,nature,spatial,,,,
111,"Diuinest women, your enchanting breaths Giue Louers many lifes and many deaths.",religion,women,mystical,breathing,emotions,life,death
112,"Ile study for your punishment, and it shall last Longer and sharper then a tedious Winter, Till you blasphemst, and then you diest and dambst.",education,judiciary,time,consumption,nature,religion,death
113,Your wrongs  might speake revenge,ethics,language,violence,,,,
114,"I here importune death awhile, until Of many thousand kisses the poor last I lay up your lips.",language,death,quantities,sexuality,anatomy,,
115,My bodie is not every day drawne dry,anatomy,time,consumption,,,,
116,"Shoure downe like rainie drops, and pearce the stones Make them receiue my sorrowes,",nature,spatial,violence,materials,emotions,,
117,"I am kept for pleasure, though I neuer taste it.",preservation,sexuality,food,,,,
118,"[the painting] It tutors nature: artificial strife Lives in these touches, livelier than life.",art,education,nature,violence,life,sensations,
119,I will present my pistol upon his sacred person afterward for charities sake,appearance,weapons__armor,religion,economics,,,
120,"My uses cry to me, I must serve my turn Out of mine own",economics,sounds,social_relations,,,,
121,"for as when the high births of Kings , We celebrate with all the City's Bells, jangling together in untuned confusion, All ordered Clocks are tied up",reproduction,politics,joviality,urban,music,mental_faculty__state__entities,time
122,"that for feare, Of some ill it includes, would fain lie hid, And rise you with it in your greater light.",anatomy,mystical,emotions,ethics,concealment,physical_activities,light
123,he calls his wife whore as familiarly as one would cal Mal & Dol,language,matrimony,social_relations,sexuality,,,
124,"Thus as the Poet sends a messenger Out to the stage, to shew the summe of all, That followes after: so are Kings reuolts, And playing both waies with religion, ",theatre,social_status,language,politics,games__sports,spatial,religion
125,tortures Âbove the thought of tyranny.,violence,spatial,mental_faculty__state__entities,politics,,,
126,"[This last old man] Loved me above the measure of a father; Nay, godded me, indeed. ",LIFE'S CYCLE,emotions,spatial,familial,religion,,
127,"safte the State of Rome With farre less merite, thenÂ ByronÂ has France;",military,politics,quantities,character_traits__nature,,,
128,you found them [the accounts] in mine honesty.,discovering,economics,character_traits__nature,,,,
129,"use the time well, if the time use thee well",etiquette,time,social_relations,,,,
130,"clip your wives, your friends, Tell them your feats; whilst they with joyful tears Wash the congealment from your wounds, and kiss The honour'd gashes whole.",matrimony,social_relations,emotions,anatomy,cleaning,injuries,affection
131,"thou, residing here, go'st yet with me, And I, hence fleeting, her remain with thee.",accommodation,movement,danger__safety,preservation,,,
132,"pay her [country] ransom vntoÂ Caesar'sÂ Ghost: Which unrevenged roves by the Stygian strand, exclaming on our sluggish negligence.",economics,politics,mystical,violence,movement,myth,character_traits__nature
133,[If you would Consull be of Rome]; Speake and do basely; every day bestow Gifts and obseruance upon one or other:,politics,religion,language,ethics,time,economics,
134,"Avarice to upland Boors, slaves, hang-men, banished.",economics,geography,architecture,social_status,violence,politics,
135,"The mind I sway by, and the heart I bear, Shall never sag with doubt, nor shake with fear.",mental_faculty__state__entities,politics,anatomy,labor,consumption,violence,emotions
136,"[Earth] whose self-same mettle, Whereof your proud child, arrogant man, is puff'd, Engenders the black toad and adder blue, ",nature,economics,character_traits__nature,LIFE'S CYCLE,reproduction,colors,animals
137,"Lust is a Spirit, which whosoe'er doth raise, The next man that encounters boldly, layes.",sexuality,mystical,men,social_relations,character_traits__nature,,
138,"if my loyaltie, stick in him no faster But that the light breath of report may loose it, (So I rest still vnmoou'd) let him be shaken.",devotion,adhesion,breathing,preservation,violence,,
139,"For by my death to the world Ile make that knowne, No hand could conquerÂ CatoÂ but his owne.",death,politics,recognition,anatomy,military,,
140,"his feares were runne before, And at misfortune ere she came to him.",emotions,movement,suffering,time,,,
141,Pleasure is banquetÂÂs guest.,sexuality,food,social_relations,,,,
142,Hell nor earth can keepe love in subiection.,religion,nature,preservation,emotions,social_relations,,
143,Haue you got the spoyle You thirsted for. O tyrannie of men!,economics,food,politics,humanity,,,
144,"in mine honor's soile, A pitcht field starts up twixt my Lord and me",sexuality,cleaning,military,spatial,matrimony,,
145,"The demi-Atlas of this earth, the arm And burgonet of men. ",myth,nature,anatomy,weapons__armor,men,,
146,"A rarer spirit never Did steer humanity: but you, gods, will give us Some faults to make us men.",character_traits__nature,movement,humanity,religion,men,,
147,"your hands has bin to me like bounties purse, Never shut up, your self my foster-Nurse",anatomy,economics,hindrance,social_relations,food,,
148,Joy had the like conception in our eyes And at that instant like a babe sprung up. ,emotions,reproduction,anatomy,time,LIFE'S CYCLE,,
149,A diminution in our captain's brain Restores his heart: ,consumption,military,anatomy,medicine,,,
150,"The walls are made of Roses, roofe of Lillies,  HereÂ Cupid'sÂ Alter, and fairÂ Venus'Â hill is.",architecture,nature,myth,religion,,,
151,Thy rented hair doth rent my heart in twain.,physical_attributes,violence,anatomy,,,,
152,"Your face, my thane, is as a book where men May read [strange matters]. ",anatomy,language,mental_faculty__state__entities,,,,
153,"Had we done [fought] so at first, we had droven them home With clouts about their heads.",violence,domestic,anatomy,,,,
154,"if he were well ript, has all the linings of a knaue within him",violence,clothes,social_status,spatial,,,
155,Dull not device by coldness and delay.,consumption,deception,temperature,privation,,,
156,"against great rains, a standing Pool Of Paddocks, Toads, and water-Snakes put up Their speckl'd throats above the venemous Lake, Croaking and gasping for some fresh fallen drops To quench their poisoned thirst",nature,animals,anatomy,resistance,violence,sounds,food
157,"let nature run crosse legd OpsÂ go upon your head, ",nature,physical_attributes,spatial,anatomy,,,
158,"be cast behinde, No more viewd then the wallet of their faults.",privation,spatial,sensations,economics,character_traits__nature,,
159,"you hast robbed me of my chiefest joy, And seekest to please me with a babish toy.",economics,emotions,feelings,LIFE'S CYCLE,games__sports,,
160,"I would not bee Chronikled as you Wilt be for a good woman, for all the world.",language,mental_faculty__state__entities,ethics,women,nature,,
161,"why should Kings be praid to acts of Justice? it is a reverence Makes them despised, and shows they stick and tire In what their free powers should be hot as fire.",politics,religion,judiciary,devotion,emotions,physical_attributes,fire
162,hurt your oath.,violence,language,,,,,
163,"The same concussion doth afflict his brest That others shooke,",medicine,anatomy,violence,emotions,,,
164,"through such perils, and such tedious wars, Won your great labor's prize sweet liberty",danger__safety,consumption,military,labor,economics,social_relations,
165,"Escape her false loue's hate: which if she do, This blacke night's horror falls like thunder on me:",danger__safety,deception,emotions,colors,darkness,violence,nature
166,Has set my blood o'boyling i'my veynes,anatomy,temperature,,,,,
167,Heart of all mischiefe,anatomy,ethics,,,,,
168,"Poisoned and done to death six Cardinals, In diuilish avarice to get their goods?",violence,death,quantities,religion,economics,,
169,O well-painted passion!,art,emotions,,,,,
170,father Fell sick upon the infection of your frowns And died in sadness. ,familial,medicine,facial_expressions,death,emotions,,
171,"There's sap in't yet. The next time I do fight, I'll make death love me; for I will contend Even with his pestilent scythe.",nature,time,violence,death,emotions,medicine,architecture
172,Nature at home beginnes;,character_traits__nature,domestic,,,,,
173,"The markes and notions extant in each spirit, Seald by th'industrious hand of art & merit,  ",character_traits__nature,heraldry,labor,anatomy,art,,
174,"[Drink] comforts the inward fires the braines,",food,feelings,spatial,fire,anatomy,,
175,the heavens' plagues Have humbled to all strokes:,religion,medicine,ethics,violence,,,
176,not one of them will cast a glaunce At our eclipsed faces;,sensations,astrology,anatomy,,,,
177,as no man's worth can be justly judged But when he shines in some authority; So no authority should suffer censure,recognition,mental_faculty__state__entities,light,politics,suffering,,
178,"A serving-man, proud in heart and mind",social_status,character_traits__nature,anatomy,mental_faculty__state__entities,,,
179,Let Neptune hear we bid a loud farewell To these great fellows,myth,sensations,sounds,greetings,social_relations,,
180,whilst Iustice keepes thy Sword & thou thy Throane.,judiciary,preservation,weapons__armor,politics,,,
181,"if that envious fates should call thee hence, and ",emotions,mystical,commands,,,,
182,"The most renowned Soldier, EpaminondasÂ (as good Authors say), Had no more suits than backs",recognition,military,historical,language,quantities,accommodation,anatomy
183,"for all you spitst is Aqua fortis, and your breath is a compound of poysons stillatory:",anatomy,consumption,breathing,alchemy,violence,,
184,memorise another Golgotha,mental_faculty__state__entities,religion,,,,,
185,"Imbrace this charge You neuer yet dishonordÂ Asdruball,",affection,labor,time,etiquette,,,
186,now all my flesh is steele.,anatomy,weapons__armor,,,,,
187,"by night outstripped,",darkness,movement,,,,,
188,in their empty foldings live still barren Of all the comfort my youths hope did promise.,privation,affection,life,reproduction,feelings,LIFE'S CYCLE,social_relations
189,"My beaming eyes yet full of Majesty, dart love, ",light,anatomy,politics,weapons__armor,emotions,,
190,And his desires beyond his pray distends Like beasts that murther more then they can eate?,emotions,spatial,animals,violence,food,,
191,weigh What it is worth embraced.,weight,economics,affection,,,,
192,wrath o'erwhelm'd my pity,emotions,mental_faculty__state__entities,,,,,
193,a thunder Of all their sighes together [Â] may quit my worthlesse fall With a fit volley for my funerall.,suffering,nature,sounds,hindrance,destruction,etiquette,death
194,they do not quake like a trembling Asp-leaf,emotions,nature,,,,,
195,"with a long storie of the diuell your father that taught thee to be whorish, enuious, bloudy.",language,religion,familial,education,sexuality,emotions,violence
196,"all good men would thrive, did not the good you promptest me with prevent the jealous ill pursuing them in others.",ethics,economics,social_relations,hindrance,emotions,,
197,"your wit will not so soon out as another man's will; 'tis strongly wedged up in a block-head,",mental_faculty__state__entities,spatial,adhesion,materials,anatomy,,
198,"One That fame gave out, could see through Oak and stone:",recognition,privation,sensations,nature,materials,,
199,"Why write great learned men? men merely rapt With sacred rage, of confidence, belief? undaunted spirits? ",language,education,religion,emotions,mental_faculty__state__entities,character_traits__nature,
200,This is a brave night to cool a courtezan.,character_traits__nature,darkness,temperature,sexuality,,,
201,"Strike her young bones, You taking airs, with lameness!",violence,LIFE'S CYCLE,anatomy,nature,deformities__disabilities,,
202,"[Moon] sovereign mistress of true melancholy,",astrology,politics,women,emotions,,,
203,The untented woundings of a father's curse Pierce every sense about thee! ,injuries,familial,language,violence,sensations,,
204,He is a soldier fit to stand by Caesar,military,historical,social_relations,,,,
205,I'll deserve your pains.,recognition,suffering,,,,,
206,"if all our wits were to issue out of one skull, they would fly east, west, north, south, and their consent of one direct way should be at once to all the points o' the compass.",mental_faculty__state__entities,spatial,anatomy,animals,geography,social_relations,
207,bind them [the Oracles] like rich bracelets on your arms Or as a precious jewel at your ear.,incarceration,mystical,economics,anatomy,,,
208,run ore his prodigall life As perfectly as if his serious eye Had nombred all his follies:,mental_faculty__state__entities,economics,life,anatomy,quantities,,
209,The nature of bad news infects the teller.,suffering,medicine,language,,,,
210,"I'll feast the ravenous people of the aire, And fill the hungrie wolues with slaughtered men.",food,social_relations,nature,animals,violence,,
211,"the moon's an arrant thief, And her pale fire she snatches from the sun:",astrology,economics,fire,,,,
212,"With his prepared sword, he charges home My unprovided body,",weapons__armor,violence,domestic,economics,,,
213,"come in, tailor; here you may roast your goose.",clothes,food,animals,,,,
214,"[a great man] That rules so much more than his suffering King, That he makes kings of his subordinate slaues:",social_status,politics,suffering,,,,
215,"the wounds his body bears, which show Like graves i' the holy churchyard.",injuries,anatomy,death,religion,,,
216,"it is the end of lust, To scourge itself, heaven lingering to be just:",mental_faculty__state__entities,sexuality,violence,religion,speed,ethics,
217,"could I command my love,",commands,emotions,,,,,
218,our blessed Alexander (beeing Saint Peeters successor) this devilish libeller calls Antichrist.,religion,politics,language,,,,
219,their branches spreading and winding one within another as if they did embrace.,nature,spatial,adhesion,affection,,,
220,"Had all beene held together with the nerues, The genius and th'ingenuous soul ",adhesion,anatomy,mystical,religion,,,
221,But stand As if a man were author of himself And knew no other kin.,physical_activities,men,language,mental_faculty__state__entities,familial,,
222,his eyes Were two full moons,anatomy,astrology,,,,,
223,Before his [god] iudgement seate: to which I summon In one yeare and a daie your hot appearance;,religion,judiciary,commands,time,temperature,appearance,
224,two such wealsmen as you are--I cannot call you Lycurguses,politics,language,historical,,,,
225,"that morgage sits like a snaffle vpon mine inheritance, and makes me chew vpon Iron. ",economics,equestrian,food,materials,,,
226,"their very looks would hang them, and they were indited but for stealing of Eggs.",appearance,violence,judiciary,economics,food,,
227,"the wisdom of their [the people's] choice is rather to have my hat than my heart, I will practise the insinuating nod and be off to them most counterfeitly",mental_faculty__state__entities,politics,clothes,anatomy,physical_activities,deception,
228,HemusÂ shall fat his barren fieldes with bloud:,myth,food,architecture,anatomy,,,
229,"The man that enters here Must make his passage throughÂ HoratiusÂ brest,",spatial,violence,anatomy,,,,
230,"they have pardons, being ask'd, as free As words to little purpose.",judiciary,language,social_relations,mental_faculty__state__entities,,,
231,seal [the tyrant's] his vengeance on his reeking breast.,heraldry,politics,violence,anatomy,,,
232,"your [Virtue] comfort, dreames,",ethics,feelings,mental_faculty__state__entities,,,,
233,"my office is italianated, I am fain to come behinde.",labor,ethics,movement,spatial,,,
234,"HadÂ TarquinÂ met with her, she had beene kild With a Slaue by her ere she had agreed [to lie with him]:",myth,violence,social_status,sexuality,,,
235,"you must make a dullard of the world, If they not thought the profits of my death Were very pregnant and potential spurs To make thee seek it.'",mental_faculty__state__entities,nature,mental_faculty__state__entities,economics,death,reproduction,equestrian
236,I'll return consul; Or never trust to what my tongue can do I' the way of flattery further.,politics,time,social_relations,anatomy,recognition,,
237,he is a good fellow of our stamp,social_relations,heraldry,,,,,
238,"Most sacrilegious murder hath broke ope The Lord's anointed temple, ",religion,violence,spatial,architecture,,,
239,"It savours [...] nor virtue, Religion, loyalty, heaven or natureÂs laws So most perfidiously to enter, tyrant, ",food,ethics,religion,devotion,nature,spatial,politics
240,"If he had been forgotten, It had been as a gap in our great feast, And all-thing unbecoming.",mental_faculty__state__entities,spatial,food,etiquette,,,
241,"from his halfe burst eyes a flame Of deepe disquiet breakes,",violence,anatomy,fire,spatial,feelings,,
242,"new desires embraceing,",emotions,affection,,,,,
243,[in hearts] Friendship (even the Sun To all good growing in society) Makes his so glorious and divine name hold Colors for all the ill that can be told.,nature,anatomy,social_relations,religion,colors,ethics,language
244,No grave upon the earth shall clip in it A pair so famous.,death,nature,spatial,matrimony,recognition,,
245,"The glorious gods sit in hourly synod about your particular prosperity, and love thee no worse than your old father Menenius does! ",religion,time,politics,emotions,familial,,
246,we contend in vain To stay these vapours,violence,privation,nature,,,,
247,"[The more Kings bear at Subjects hands, the more their lingering justice gathers] but being aloft, All she [the eagle] commands, she flys at; ",politics,labor,anatomy,judiciary,animals,spatial,commands
248,"when good will is show'd, though't come too short, The actor may plead pardon.",ethics,appearance,spatial,theatre,judiciary,,
249,"Where shall this weight fall? on what rhegion, Must this declining prominent poure his lode?",weight,geography,spatial,social_status,labor,,
250,"raze out of your lasting calenders, Those bloody songs ofÂ HiliasÂ dismall sight, and note with black, that black and cursed day, WhenÂ CaesarÂ conquered inÂ Pharsalia",language,time,violence,music,myth,feelings,
251,"full of scorpions is my mind, ",animals,mental_faculty__state__entities,,,,,
252,"May this right hand be thunder to my brest, If I stand guilty of the slendrest fact, Wherein the left of those two can be prooued,",anatomy,nature,judiciary,physical_attributes,spatial,,
253,"By you this slaughtered body bleeds again, which oft for you has bled in feareful fight.",violence,anatomy,injuries,emotions,,,
254,he's a very dog to the commonalty.,animals,politics,,,,,
255,Some fate doth ioine our eares to heare it [Affliction] comming.,mystical,anatomy,sensations,violence,,,
256,"with amazement, [Astonomer] Behold your errour and be planet strucke.",mental_faculty__state__entities,astrology,sensations,violence,,,
257,honour the rising sun.,devotion,nature,,,,,
258,Accomplements are more for ornament Than vse.,recognition,art,,,,,
259,"I should look up to heaven,  Whilst he behind me cozens me of my head.",sensations,religion,spatial,deception,anatomy,,
260,"[sleep] great nature's second course, Chief nourisher in life's feast,-",sleep,nature,food,life,,,
261,Hell and the darkenes keepe me from their sight.,religion,darkness,preservation,sensations,,,
262,"How soeuer it sauours [of distraction], I am sure it smels like a lye.",food,deception,sensations,language,,,
263,there's one foole shipt away,mental_faculty__state__entities,nautical,,,,,
264,"My pleasure gaue thee life, and it resumes That life againe, because it kills my pleasure:",sexuality,reproduction,preservation,life,violence,,
265,What is the city but the people?  The people are the city.,urban,politics,,,,,
266,The natural fool of fortune. ,nature,mental_faculty__state__entities,mystical,,,,
267,Lend something to this poore forsaken hand;,economics,privation,anatomy,,,,
268,are my doors opposed against my passage?,architecture,resistance,spatial,,,,
269,"This murder might have slept in tongueless brass, But for ourselves, ",violence,sleep,language,anatomy,,,
270,"though no Romane by my nose, ",ethnicity__nationality,anatomy,,,,,
271,"murderer of your friend, why has your lingering thus wroughtÂ his end,",violence,social_relations,speed,death,,,
272,"by our faces; we are fellows still, Serving alike in sorrow:",facial_expressions,social_relations,devotion,emotions,,,
273,"for the sustenance that I should eat, I'll feed on grief, tis woes best rellished meat.",food,emotions,,,,,
274,"My Lord has plaid a prodigals part, To breake his Stocke for nothing",social_status,theatre,economics,violence,privation,,
275,Tis put a politique glose,politics,light,,,,,
276,"Frailtie is fruitfull, one sinne begets another:",character_traits__nature,architecture,religion,reproduction,,,
277,She gave me for my pains a world of sighs:,suffering,nature,sounds,,,,
278,"in a cheap estimation, he is worth predecessors since Deucalion, though peradventure some of the best of 'em were hereditary hangmen. ",economics,familial,myth,violence,,,
279,the powerfull hand of Rome Graspes his imperiall sword,anatomy,politics,adhesion,weapons__armor,,,
