Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"when we wander furthest through the waues Of Glassie Glorie and the Gulfes of State,",MOVEMENT,SPATIAL,NATURE,MATERIALS,RECOGNITION,GEOGRAPHY,POLITICS
"Topt with all Titles, spreading all our reaches, As if each priuate Arme would sphere the world;",SOCIAL STATUS,POLITICS,ANATOMY,SPATIAL,NATURE,,
"A poore staid fisher-man, that neuer past His Contries sight, to waft and guide them in , Wee must to vertue for her guide resort, Or wee shall shipwracke in our safest Port.",SOCIAL STATUS,HUNTING & FISHING,POLITICS,SENSATIONS,EDUCATION,ETHICS,NAUTICAL
There is no second place in Numerous State That holds more than a Cypher: In a King All places are contain'd. ,GAMES & SPORT,SOCIAL STATUS,POLITICS,QUANTITIES,SPATIAL,,
"[The King's] His words and lookes Are like the flashes and the bolts of Ioue,",POLITICS,LANGUAGE,LIGHT,NATURE,RELIGION,,
"[The King's] His deedes inimitable, like the Sea That shuts still as it opes, and leaues no tracts,",POLITICS,CHARACTER TRAITS,NATURE,HINDRANCE,PRIVATION,SPATIAL,
"[[The King's] His deedes inimitable, like the Sea]  Nor prints of President for poore mens facts:",POLITICS,CHARACTER TRAITS,NATURE,PRIVATION,LANGUAGE,JUDICIARY,ECONOMICS
"There's but a Thred between me and a Croune; I would not wish it cut, vnlesse by nature;",CLOTHES,POLITICS,EMOTIONS,VIOLENCE,NATURE,,
"A man of spirit beyond the reach of feare, [...who] Neglects the light, and loves obscure Abodes;",CHARACTER TRAITS,SPATIAL,EMOTIONS,PRIVATION,LIGHT,MENTAL FACULTY,ACCOMMODATION
"apt to take Fire at aduancement, […] In his Rise therefore shall my bounties shine:",CHARACTER TRAITS,FIRE,SOCIAL STATUS,PHYSICAL ACTIVITIES,ETHICS,LIGHT,
gold and grace will make him surfet of it [the world],ECONOMICS,RELIGION,FOOD,NATURE,,,
"Turn'd to Earth, aliue?",TRANSFORMATION,NATURE,LIFE,,,,
"Let it [the sun] shine. I am no mote to play in't, as great men are.",NATURE,LIGHT,MATERIALS,GAMES & SPORT,POLITICS,,
"men great in state, motes in the sunne?",POLITICS,MATERIALS,NATURE,,,,
"They say so that would have thee freeze in shades,",LANGUAGE,TEMPERATURE,DARKNESS,,,,
"That (like the grosse Sicilian Gurmundist) Emptie their Noses in the Cates they loue, That none may eat but they. ",ETHNICITY,FOOD,PRIVATION,ANATOMY,EMOTIONS,,
"Do you but bring Light to the Banquet Fortune sets before thee,",LIGHT,FOOD,MYSTICAL,,,,
you wilt loth leane Darkenesse like your Death.,EMOTIONS,FOOD,DARKNESS,DEATH,,,
Who would beleeue your Mettall could let sloth Rust and consume it? ,MENTAL FACULTY,MATERIALS,CHARACTER TRAITS,CONSUMPTION,,,
Epaminondas  paid his Countrie nor himselfe their right ,HISTORICAL,ECONOMICS,POLITICS,,,,
"Epaminondas […] But putting foorth his strength, he rescude both From imminent ruine; and like Burnisht Steele, After long vse he shin'd;",HISTORICAL,POLITICS,ASSISTANCE,DESTRUCTION,WEAPONS & ARMOR,CONSUMPTION,LIGHT
"Leaue the troubled streames, And live as Thriuers do at the Well head.",PRIVATION,NATURE,LIFE,ECONOMICS,,,
At the Wellhead? Alas what should I do With that enchanted Glasse? See diuels there?,NATURE,MYSTICAL,MATERIALS,RELIGION,,,
"[at the wellhead] (like a strumpet) learne to set my lookes In an eternall Brake,",NATURE,SEXUALITY,EDUCATION,SENSATIONS,TIME,INCARCERATION,
"[at the wellhead] practise iuggling, To keepe my face still fast, my hart still loose;",NATURE,THEATRE,PRESERVATION,FACIAL EXPRESSIONS,ANATOMY,SOCIAL RELATIONS,DECEPTION
"beare (like Dames Schoolemistresses their Riddles) Two Tongues, and be good only for a shift; Flatter great Lords, to put them still in minde Why they were made Lords: ",WOMEN,EDUCATION,MENTAL FACULTY,ANATOMY,DECEPTION,REPRODUCTION,SOCIAL STATUS
"please portly Ladies With a good carriage, tell them idle Tales, To make their Physicke worke; ",FEELINGS,WOMEN,ECONOMICS,LANGUAGE,MEDICINE,,
"spend a mans life In sights and visitations, that will make His eyes as hollow as his Mistresse heart:",ECONOMICS,MEN,LIFE,SOCIAL RELATIONS,ANATOMY,PRIVATION,WOMEN
"Beleeue backewards, make your Period And Creedes last Article; And (hearing villanies preacht) t' vnfold their Art Learne to commit them,",MENTAL FACULTY,SPATIAL,RELIGION,SENSATIONS,ETHICS,EDUCATION,
"I, in a threadbare suit;  They must have high Naps, and go from thence bare: A man may drown the parts often rich men In one poore suit; ",CLOTHES,ANATOMY,MEN,VIOLENCE,ECONOMICS,,
"Braue Barks, and outward Glosse Attract Court eyes",CHARACTER TRAITS,NATURE,APPEARANCE,LIGHT,POLITICS,ANATOMY,
"Thou shalt have Glosse enough, and all things fit T'enchase in all shew, your long smothered spirit:",LIGHT,HUNTING & FISHING,APPEARANCE,VIOLENCE,CHARACTER TRAITS,,
"blinde Fortunes powerfull hands with wings, To shew her gifts come swift and suddenly,",DEFORMITIES,MYSTICAL,ANATOMY,ANIMALS,ECONOMICS,SPEED,
"It is to sow them Vpon my spirit, and make them spring a Crown Worth Millions of the seed",AGRICULTURE,RELIGION,POLITICS,ECONOMICS,,,
But hee's no husbandman heere; A smooth plaine ground Will neuer nourish any politicke seede;,AGRICULTURE,CHARACTER TRAITS,NATURE,POLITICS,,,
rise in Court with vertue; speede his plow:,PHYSICAL ACTIVITIES,POLITICS,ETHICS,SPEED,AGRICULTURE,,
my Fortune neuer fit the length Of both their vnderstandings,MYSTICAL,CLOTHES,SPATIAL,MENTAL FACULTY,,,
"There is a deepe nicke in times restlesse wheele For each mans good, when which nicke comes it strikes;",SPATIAL,MUSIC,TIME,FEELINGS,ETHICS,VIOLENCE,
"As Rhetoricke, yet workes not perswasion, But only is a meane to make it worke: So no man riseth by his reall merit, But when it cries Clincke in his Raisers spirit:",LANGUAGE,MENTAL FACULTY,ECONOMICS,PHYSICAL ACTIVITIES,RECOGNITION,SOUNDS,CHARACTER TRAITS
"Mans first houres rise, is first steppe to his fall.",MEN,TIME,PHYSICAL ACTIVITIES,MOVEMENT,DESTRUCTION,,
"men that fall low must die, As well as men cast headlong from the skie.",MEN,DESTRUCTION,SPATIAL,DEATH,VIOLENCE,NATURE,
"you have opened my dull eies, I see you; And would be glad to see the good you speake of:",DISCOVERING,ANATOMY,SENSATIONS,FEELINGS,ETHICS,LANGUAGE,
"A hundred [crowns...], his hand is larger",QUANTITIES,ECONOMICS,ANATOMY,SIZE,,,
"I would to heaven I were an errant Asse, For then I should be sure to have the Eares Of these great men, where now their Iesters have them:",RELIGION,ANIMALS,GEOGRAPHY,ANATOMY,SOCIAL STATUS,THEATRE,
"These Crowns are sown in blood, blood be their fruit.",ECONOMICS,AGRICULTURE,ANATOMY,VIOLENCE,FOOD,,
"much enricht In the attendance of this English virgin,",ECONOMICS,SOCIAL RELATIONS,ETHNICITY,SEXUALITY,,,
"their Court forme, it is too crestfalne",POLITICS,APPEARANCE,FEELINGS,,,,
making Semi-gods Of their great Nobles;,RELIGION,POLITICS,,,,,
"[making] of their old Queene An euer-yoong, and most immortall Goddesse.",LIFE'S CYCLE,POLITICS,TIME,RELIGION,,,
"The world is not contracted in a man, With more proportion and expression Than in her Court, her Kingdome",NATURE,SIZE,MEN,SPATIAL,LANGUAGE,POLITICS,
Our French Court Is a meere mirror of confusion to it:,ETHNICITY,POLITICS,ART,SOCIAL UNREST,,,
"The King and subiect, Lord and euerie slave Dance a continuall Haie;",POLITICS,SOCIAL STATUS,JOVIALITY,TIME,,,
"Our Roomes of State, Kept like our stables; ",ARCHITECTURE,POLITICS,EQUESTRIAN,,,,
No place more obseru'd Than a rude Market place:,SPATIAL,SENSATIONS,ECONOMICS,,,,
"our Custome Keepe this assur'd deformitie from our sight,",ETIQUETTE,DEFORMITIES,SENSATIONS,,,,
"Where the Kings change doth breede the Subiects terror,",POLITICS,REPRODUCTION,EMOTIONS,,,,
"Neuer were men so wearie of their Skins, And apt to leape out of themselues as they [the English men] ;",TIME,MEN,MENTAL FACULTY,ANATOMY,PHYSICAL ACTIVITIES,SPATIAL,ETHNICITY
"Their [English men] Braines lie with their Tailors, and get babies For their most complete issue; ",MEN,ETHNICITY,ANATOMY,CLOTHES,REPRODUCTION,,
"He's first borne To all the morall vertues, that first greetes The light with a new fashion",LIFE'S CYCLE,ETHICS,GREETINGS,LIGHT,ETIQUETTE,,
"becomes them Like Apes, disfigur'd with the attires of men.",ETIQUETTE,ANIMALS,DEFORMITIES,CLOTHES,HUMANITY,,
they [English men] much wrong their reall worth In affectation of outlandish Scumme;,MEN,ETHNICITY,ETHICS,ECONOMICS,DECEPTION,POLITICS,SOCIAL STATUS
They [English men] foolish-proud To be the Pictures of our vanitie;,MEN,ETHNICITY,MENTAL FACULTY,CHARACTER TRAITS,ART,,
we (in feare to make milde vertue proud) Vse not to seeke her out in any man.,EMOTIONS,ETHICS,DISCOVERING,WOMEN,CHARACTER TRAITS,MEN,
"Nor doth she [Vertue] vse to seeke out any man: He that will winne, must wooe her; shee's not shamelesse.",WOMEN,ETHICS,DISCOVERING,MEN,GAMES & SPORT,COURTING,CHARACTER TRAITS
"If you have woo'd and won, then Brother wear him.",COURTING,FAMILIAL,CLOTHES,,,,
I'le enseame thee [with the ladies]; ,CLOTHES,WOMEN,,,,,
"If you enter him in our Graces, me thinks by his blunt behauiour, he should come out of himselfe.",SPATIAL,SOCIAL STATUS,ETIQUETTE,MENTAL FACULTY,CHARACTER TRAITS,,
why did the Toy [to be a courtier] take him in th'head now?,GAMES & SPORT,POLITICS,ANATOMY,,,,
Heere's a Courtier rotten before he be ripe.,POLITICS,CONSUMPTION,AGRICULTURE,,,,
Cut my throat? cut a whetstone; ,VIOLENCE,ANATOMY,WEAPONS & ARMOR,,,,
"Accius Noeuius, do as much with your tongue as he did with a Razor; ; cut my throat?",ANATOMY,WEAPONS & ARMOR,VIOLENCE,,,,
"Robb'd the Realme of Many thousand Soules, more precious than your owne.",ECONOMICS,POLITICS,QUANTITIES,RELIGION,,,
"a sudden transmigration with D'Ambois, out of the Knights ward, into the Duches bed.",GEOGRAPHY,SPATIAL,MILITARY,POLITICS,SEXUALITY,,
what a Metamorphosis a braue suit can worke.,TRANSFORMATION,CHARACTER TRAITS,COURTING,,,,
"Passion of death! Were not the King heere,  he should strow the Chamber like a rush.",EMOTIONS,DEATH,POLITICS,DOMESTIC,NATURE,,
"His great heart will not down, tis like the Sea That partly by his own internall heat, Partly the starr's dailie and nightly motion, Ardor and light,",CHARACTER TRAITS,ANATOMY,SPATIAL,NATURE,TEMPERATURE,ASTROLOGY,LIGHT
"[His great heart will not downe, tis like the Sea], partly of the place, The diuers frames, And chiefly by the Moone, Bristled with surges,",CHARACTER TRAITS,ANATOMY,SPATIAL,NATURE,ASTROLOGY,VIOLENCE,
"[His great heart will not down, tis like the Sea] neuer will be wonne, (No, not when th'hearts of all those powers are burst) ",CHARACTER TRAITS,ANATOMY,SPATIAL,NATURE,TIME,VIOLENCE,
"[His great heart will not down, tis like the Sea] To make retreat into his setled home, Till he be croun'd with his own quiet foam",CHARACTER TRAITS,ANATOMY,SPATIAL,NATURE,DOMESTIC,MILITARY,POLITICS
"here's the Lion, scared with the throat of a dunghill Cock",ANIMALS,EMOTIONS,ANATOMY,AGRICULTURE,,,
a fellow that has newlie shak'd off his shackles; Now does he crow for that victorie.,SOCIAL RELATIONS,PRIVATION,INCARCERATION,SOUNDS,MILITARY,,
Tis [mockery] one of the best jigs,DERISION,JOVIALITY,,,,,
"this Gallant ouerioied with the conceit of Monsieur's cast suit, imagines himselfe to be the Monsieur. -- ",SOCIAL STATUS,EMOTIONS,MENTAL FACULTY,CLOTHES,,,
"[Gallant imagines himself] as well as the Asse, stalking in the Lions case, beare himselfe like a Lion, roaring all the huger beasts out of the Forrest?",SOCIAL STATUS,MENTAL FACULTY,CLOTHES,ANIMALS,HUNTING & FISHING,SOUNDS,SIZE
it [the blanket is] for his honour. -- carrie it cleane? -- when he curvets in the blanquet.,CLOTHES,RECOGNITION,CLEANING,EQUESTRIAN,,,
"a perfum'd Asse, that being disguis'd with a Lions case, imagin'd himselfe a Lion",SENSATIONS,ANIMALS,THEATRE,MENTAL FACULTY,,,
"Your descants do marvellous well fit this ground, ",MUSIC,ETIQUETTE,MENTAL FACULTY,,,,
wee shall meete where your Buffonly laughters will cost ye the best blood in your bodies.,SOCIAL RELATIONS,JOVIALITY,DERISION,ECONOMICS,ANATOMY,,
"Ile be your Ghost to haunt you, and yee sleep on't",MYSTICAL,SLEEP,,,,,
these perfum'd musk Cats (being out of this priviledge) durst but once mew at vs.,SENSATIONS,ANIMALS,SOCIAL RELATIONS,RESISTANCE,SOUNDS,,
we'll lead you a dance [fight]. ,SOCIAL RELATIONS,JOVIALITY,VIOLENCE,,,,
Lesse than either [bravery and heart] Will make the Gall of Enuie ouerflow;,QUANTITIES,CHARACTER TRAITS,ANATOMY,EMOTIONS,NATURE,,
"She [Envy] feedes on outcast entrailes like a Kite: In which foule heape, if any ill lies hid, She sticks her beake into it, shakes it vp, And hurl's it all abroad, that all may view it.",EMOTIONS,FOOD,ANATOMY,ANIMALS,ETHICS,VIOLENCE,SENSATIONS
"Corruption is her [Envy's] Nutriment; but touch her With any precious ointment, and you kill her:",DESTRUCTION,EMOTIONS,FOOD,SENSATIONS,MEDICINE,VIOLENCE,
"When she [Envy] findes any filth in men, she feasts, And ",WOMEN,EMOTIONS,DISCOVERING,CLEANING,MEN,FOOD,
[Envy] with her blacke throat bruits it through the world ,WOMEN,EMOTIONS,COLORS,ANATOMY,LANGUAGE,POLITICS,
"But if she [Envy] but taste The slenderest pittance of commended vertue, She surfets of it",WOMEN,EMOTIONS,FOOD,QUANTITIES,ETHICS,RECOGNITION,
"[Envy] is like a flie, That passes all the bodies so soundest parts, And dwels upon the sores; ",WOMEN,EMOTIONS,ANIMALS,MOVEMENT,ANATOMY,ACCOMMODATION,INJURIES
"or if her [Envy] squint eye Haue power to find [sores] none there, she forges some:",WOMEN,EMOTIONS,ANATOMY,DISCOVERING,INJURIES,DECEPTION,
"She makes that crooked ever which is strait; Call's valour giddinesse, Iustice Tyrannie:",TRANSFORMATION,SPATIAL,LANGUAGE,CHARACTER TRAITS,JOVIALITY,ETHICS,POLITICS
"A wise man may shun her [Envy], she not her selfe; ",MENTAL FACULTY,PRIVATION,WOMEN,EMOTIONS,,,
"Whither soeuer she [Envy] flies from her Harmes, She beares her Foe still claspt in her own Armes",WOMEN,EMOTIONS,DANGER & SAFETY,SUFFERING,LABOR,SOCIAL RELATIONS,ANATOMY
"What Atlas, or Olympus lifts his head So farre past Couert, that with air enough My words may be inform'd, And from his height I may be seene, and heard through all the world?",MYTH,ANATOMY,SPATIAL,POLITICS,NATURE,LANGUAGE,SENSATIONS
"A tale so worthie, and so fraught with wonder, Sticks in my iawes, and labours with euent.",LANGUAGE,RECOGNITION,MENTAL FACULTY,ADHESION,ANATOMY,LABOR,
at their heels their foes;,ANATOMY,SOCIAL RELATIONS,,,,,
"Like bonfires of Contributorie wood, Euerie mans looke shew'd, Fed with eithers spirit,",FIRE,MATERIALS,APPEARANCE,FOOD,RELIGION,,
"As one had beene a mirror to another, Like formes of life and death, each tooke from other;",APPEARANCE,LIFE,DEATH,,,,
in their brow Pyrrho's Opinion in great letters shone; That life and death in all respects are one.,ANATOMY,HISTORICAL,EDUCATION,LANGUAGE,LIGHT,LIFE,DEATH
"As Hector, twixt the Hosts of Greece and Troy, held up his brasen launce For signall, that both Hosts should cease from Armes, And heare him speake: So Barrisor (aduis'd) Aduanc'd his Naked Rapier twixt both sides, Ript up the Quarrell, and compar'd six liues; Then laid in ballance with six idle words,",MYTH,SPATIAL,SOCIAL RELATIONS,WEAPONS & ARMOR,HINDRANCE,VIOLENCE,LANGUAGE
"D'Ambois (that like a Laurel put in fire, Sparkl'd and spit) did much much more than scorne,",NATURE,FIRE,POLITICS,DERISION,,,
"his wrong should incense him so like chaffe, To go so soone out; and like lighted paper, Approoue his spirit at once both fire and ashes:",ETHICS,FIRE,MOVEMENT,SPATIAL,MATERIALS,CHARACTER TRAITS,CONSUMPTION
"like flame and Powder they commixt, So spritely, that I wisht they had beene spirits, ",FIRE,WEAPONS & ARMOR,ADHESION,LIFE,EMOTIONS,MYSTICAL,
"That the ne're shutting wounds, they needes must open, Might as they open'd, shut, and neuer kill:",MEDICINE,INJURIES,SPATIAL,HINDRANCE,VIOLENCE,,
But D'Ambois sword (that lightned as it flew) Shot like a pointed Comet at the face Of manly Barrisor;,WEAPONS & ARMOR,FIRE,ASTROLOGY,VIOLENCE,ANATOMY,,
free as fire; Who thrust still as he pluckt,SOCIAL RELATIONS,FIRE,VIOLENCE,,,,
at the heart of Barrisor seal'd his anger:,ANATOMY,HERALDRY,EMOTIONS,,,,
"Then, as in Arden I have seene an Oak Long shooke with tempests, and his loftie toppe Bent to his roote, which being at length made loose (Euen groaning with his weight) he gan to Nod This way and that:",NATURE,VIOLENCE,SPATIAL,PHYSICAL ATTRIBUTES,SOUNDS,WEIGHT,
as loath his curled Browes (Which he had oft wrapt in the sky with stormes) Should stoope:,EMOTIONS,FACIAL EXPRESSIONS,CLOTHES,NATURE,SOCIAL RELATIONS,,
"his radicall fibers burst, Storme-like he fell, and hid the feare-cold Earth.",VIOLENCE,NATURE,DESTRUCTION,CONCEALMENT,EMOTIONS,TEMPERATURE,
Such a life  had metal in it to suruiue An age of men.,LIFE,MATERIALS,PRESERVATION,TIME,MEN,,
"Sorrow and furie, like two opposite fumes, Met in the vpper Region of a Cloud, At the report made by this worthies fall, Brake from the earth, and with them rose Reuenge,",EMOTIONS,ALCHEMY,SOCIAL RELATIONS,NATURE,LANGUAGE,DESTRUCTION,VIOLENCE
"An angrie Vnicorne in his full carier Charge with too quicke an eie a jeweller, That watcht him for the Treasure of his brow; ",EMOTIONS,MYTH,VIOLENCE,ANATOMY,ECONOMICS,SENSATIONS,
"And ere he [the jeweller] could get shelter of a tree, [Unicorn] Naile him with his rich Antler to the Earth: So D'Ambois ranne upon reueng'd L'Anou,",ECONOMICS,DANGER & SAFETY,NATURE,MYTH,VIOLENCE,MOVEMENT,
"all the life strings of the tw'other Were cut, ",LIFE,CLOTHES,VIOLENCE,,,,
both fell as their spirits flew Vpwards: and still hunt Honour at the view.,DEATH,RELIGION,SPATIAL,HUNTING & FISHING,RECOGNITION,SENSATIONS,
"kneeling in the warme life of his friends, All feebled with the blood, his Rapier raind",PHYSICAL ACTIVITIES,TEMPERATURE,LIFE,SOCIAL RELATIONS,PHYSICAL ATTRIBUTES,ANATOMY,VIOLENCE
"If ever Nature held herselfe her owne, When the great Trial of a King and subiect Met in one blood, both from one bellie springing: ",NATURE,MENTAL FACULTY,JUDICIARY,POLITICS,ANATOMY,,
"Now proove her [nature] vertue and her greatnesse One,",JUDICIARY,WOMEN,NATURE,ETHICS,CHARACTER TRAITS,,
"Lay on this violence, and all vaunt themselues Law-menders and suppliers though meere Butchers;",VIOLENCE,LANGUAGE,JUDICIARY,ECONOMICS,FOOD,,
"fame's deare life, Which is aboue life",RECOGNITION,LIFE,SPATIAL,,,,
let your life (Refin'd by passing through this merited death) Be purg'd from more such foule pollution;,LIFE,ALCHEMY,SPATIAL,RECOGNITION,DEATH,CLEANING,
This is a grace that (on my knees redoubled) I craue to double this my short lifes gift;,RELIGION,ANATOMY,QUANTITIES,EMOTIONS,LIFE,,
"let no law make By any wrong it does, my life her slaue:",RESISTANCE,JUDICIARY,ETHICS,LIFE,SOCIAL STATUS,,
"Now vanish horrors into Court attractions, For which let this balme make thee fresh and faire.",APPEARANCE,EMOTIONS,POLITICS,JOVIALITY,MEDICINE,,
"For though his great spirit something ouerflow, All faults are still borne, that from greatnesse grow:",CHARACTER TRAITS,NATURE,LABOR,,,,
"how it [the law] runnes, much like a turbulent sea; Heere high, and glorious, as it did contend To wash the heauens, and make the stars more pure:",JUDICIARY,NATURE,SPATIAL,RECOGNITION,CLEANING,RELIGION,ASTROLOGY
"[how it [the law] runnes, much like a turbulent sea], here so low, it leaues the mud of hell To every common view:",JUDICIARY,NATURE,SPATIAL,PRIVATION,RELIGION,SOCIAL STATUS,SENSATIONS
there's change of weather in your lookes.,TRANSFORMATION,NATURE,FACIAL EXPRESSIONS,,,,
I cannot cloake it [mood],FEELINGS,CLOTHES,CONCEALMENT,,,,
"as when a fume, Hot, drie and grosse: within the wombe of earth Or in her superficies begot: ",FIRE,TEMPERATURE,SPATIAL,REPRODUCTION,NATURE,,
"When extreame cold has stroke it to her [earth's] heart, The more it is comprest, the more it rageth; ",TEMPERATURE,VIOLENCE,WOMEN,NATURE,ANATOMY,EMOTIONS,
"[The fume] Exceeds his prison's strength that should containe it, And then it tosseth Temples in the aire; ",NATURE,PHYSICAL ATTRIBUTES,INCARCERATION,VIOLENCE,RELIGION,,
"All barres made engines, to his [the fume's] insolent fury: So  my licentious fancy Riots within me:",INCARCERATION,WEAPONS & ARMOR,NATURE,DERISION,EMOTIONS,,
"I must vtter that That will in parting breake more strings in me, Than death when life parts",LANGUAGE,PRIVATION,VIOLENCE,ANATOMY,DEATH,,
"that holy man That, from my cradle, counseld for my soule: I [...] must make an agent for my bloud.",RELIGION,LIFE'S CYCLE,ASSISTANCE,ANATOMY,,,
my husbands height Is crowne to all my hopes:,MATRIMONY,SPATIAL,POLITICS,EMOTIONS,,,
Mine honour's in mine own hands,RECOGNITION,ANATOMY,,,,,
"Honour, whats that? your second maidenhead:",RECOGNITION,SEXUALITY,,,,,
"And what is that [honour]? a word: the word is gone The thing remaines: the rose is pluckt, the stalke Abides",RECOGNITION,LANGUAGE,PRIVATION,PRESERVATION,NATURE,VIOLENCE,
archers ever Haue two strings to a bow: and shall great Cupid (Archer of archers both in men and women) Be worse prouided than a common archer?,HUNTING & FISHING,WEAPONS & ARMOR,MYTH,MEN,WOMEN,PRIVATION,
Take (with a politique hand) this rope of Pearle;,POLITICS,ANATOMY,VIOLENCE,ECONOMICS,,,
"So ill prepar'd, that I may take a poison, Vnder a medicine as good cheape as it [pearl]:",MENTAL FACULTY,VIOLENCE,MEDICINE,ECONOMICS,,,
I will not have it [pearl] were it worth the world.,ECONOMICS,NATURE,,,,,
"Take comfort , triumph And crown your selfe, you part'st with victory:",FEELINGS,MILITARY,POLITICS,PRIVATION,,,
"with how much weight, My vow has charged it [my business].",WEIGHT,LANGUAGE,ECONOMICS,LABOR,,,
"Never My fruitlesse love shall let your serious profit,",TIME,AGRICULTURE,EMOTIONS,ECONOMICS,,,
"my soul Is so long time without me, and I dead As you are absent.",RELIGION,TIME,PRIVATION,DEATH,,,
"By this kisse, receiue My soul for hostage, till I see my loue.",AFFECTION,RELIGION,INCARCERATION,SENSATIONS,EMOTIONS,,
the sun has left The whole worlds beauty ere my sun [husband] leaues me.,NATURE,PRIVATION,APPEARANCE,MATRIMONY,,,
"in the waue of our affections We should supplie it with a full dissembling, In which each yoongest maid is growne a mother,",NATURE,AFFECTION,ECONOMICS,DECEPTION,WOMEN,FAMILIAL,
"Frailtie is fruitfull, one sinne begets another:",CHARACTER TRAITS,AGRICULTURE,RELIGION,REPRODUCTION,,,
"Our loves like sparkles are that brightest shine, When they go out",EMOTIONS,LIGHT,CONSUMPTION,,,,
most vice shewes most diuine:,ETHICS,APPEARANCE,RELIGION,,,,
"all the peacefull regents of the night, Silently-gliding exhalations, ",FEELINGS,POLITICS,DARKNESS,SOUNDS,MOVEMENT,BREATHING,
"Languishing windes, and murmuring falls of waters, Sadnesse of heart [all the friends of rest]",CONSUMPTION,NATURE,SOUNDS,EMOTIONS,ANATOMY,SOCIAL RELATIONS,SLEEP
"ominous securenesse, Enchantments, dead sleepes, all the friends of rest, ",ETHICS,DANGER & SAFETY,MYSTICAL,DEATH,SLEEP,SOCIAL RELATIONS,
"[the peacefull regents of the night], That ever wrought upon the life of man, Extend your vtmost strengths; and ",FEELINGS,POLITICS,DARKNESS,LIFE,SPATIAL,,
this charm'd houre Fix like the Center; make the violent wheeles Of Time and Fortune stand [all the friends of rest],SLEEP,SOCIAL RELATIONS,MYSTICAL,TIME,SPATIAL,VIOLENCE,HINDRANCE
"[[the peacefull regents of the night,] Great Existense (The Maker's treasurie) now not seeme to bee, To all but my approaching friends and mee:",FEELINGS,POLITICS,DARKNESS,RELIGION,ECONOMICS,SOCIAL RELATIONS,
"feare and hope Of one thing, at one instant fight in me:",EMOTIONS,TIME,VIOLENCE,,,,
"the gulfe is opening, that will swallow Me and my fame for euer; I will in, And cast my selfe off, as I ne're had beene.",NATURE,SPATIAL,FOOD,RECOGNITION,TIME,DEATH,
"our affections storm, Rais'd in our blood, no Reason can reform",AFFECTION,NATURE,ANATOMY,MENTAL FACULTY,ETHICS,,
"with another colour, which my Art Shall teach you to lay on",COLORS,ART,EDUCATION,,,,
"your selfe must seeme The only agent, and the first Orb Move, In this our set, and cunning world of Loue.",APPEARANCE,SOCIAL RELATIONS,ASTROLOGY,MOVEMENT,DECEPTION,EMOTIONS,
Giue me the colour […] And trust my cunning then to lay it on.,COLORS,SOCIAL RELATIONS,DECEPTION,,,,
"this nights depth, For the more cleere auoiding of all note,",DARKNESS,SPATIAL,DANGER & SAFETY,,,,
(To cleere her hands of such a louers blood),CLEANING,ANATOMY,EMOTIONS,,,,
For the direct is crooked; Loue comes flying; The height of love is still wonne with denying.,EDUCATION,SPATIAL,EMOTIONS,ANIMALS,COURTING,PRIVATION,
"Humour (that is the charriot of our foode In euerie bodie) must in them be fed, To carrie their affections by it bred.",MEDICINE,MOVEMENT,FOOD,ANATOMY,AFFECTION,REPRODUCTION,
